KCLANPO23N000002685,장소,관광지,8270238,방사탑,,,60606,비/탑/문/각,5.01103E+18,제주특별자치도,제주시,조천읍,신흥리,,5011025925,5011025900,,,,126.6508745,33.54890511,다다211066,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002830,장소,관광지,8270414,성읍민속마을,,,60608,고택/생가/민속마을,5.01303E+18,제주특별자치도,서귀포시,표선면,성읍리,820-1,5013032023,5013032000,5.01303E+11,성읍서문로,14,126.8000524,33.38687552,다나349885,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002977,장소,관광지,8270596,제주향교,,,60609,서원/향교/서당,5.01101E+18,제주특별자치도,제주시,용담일동,,298-8,5011010800,5011057000,5.01103E+11,서문로,43,126.5156,33.5115155,다다085026,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002978,장소,관광지,8270597,대정향교,,,60609,서원/향교/서당,5.01303E+18,제주특별자치도,서귀포시,안덕면,사계리,447789,5013031025,5013031000,5.01303E+11,향교로,165-17,126.2883544,33.23952274,나나871726,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002980,장소,관광지,8270599,성읍민속마을정의향교,,,60609,서원/향교/서당,5.01303E+18,제주특별자치도,서귀포시,표선면,성읍리,820-1,5013032023,5013032000,5.01303E+11,성읍서문로,14,126.7999818,33.38664278,다나348885,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003072,장소,관광지,8270697,제주서당,,,60609,서원/향교/서당,5.01303E+18,제주특별자치도,서귀포시,성산읍,삼달리,115-5,5013025928,5013025900,5.01303E+11,삼달로,32,126.8650301,33.37001944,다나409866,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003223,장소,관광지,8291890,금산공원,,,60508,일반유원지/일반놀이공원,5.01103E+18,제주특별자치도,제주시,애월읍,납읍리,1457-4,5011025335,5011025300,,,,126.330579,33.43387091,나나912941,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003245,장소,관광지,8291926,대유수렵장,,,60508,일반유원지/일반놀이공원,5.01301E+18,제주특별자치도,서귀포시,상예동,,144,5013012000,5013062000,5.01303E+11,상예로,381,126.3946809,33.27799468,나나970768,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003290,장소,관광지,8291994,북촌돌하르방공원,,,60508,일반유원지/일반놀이공원,5.01103E+18,제주특별자치도,제주시,조천읍,북촌리,976,5011025927,5011025900,5.01105E+11,북촌서1길,70,126.6888226,33.53883696,다다246055,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003310,장소,관광지,8292023,서귀포유람선,,,60513,일반관광지,5.01301E+18,제주특별자치도,서귀포시,서홍동,,707-5,5013010600,5013054000,5.01303E+11,남성중로,40,126.5585769,33.23924976,다나122723,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003316,장소,관광지,8292038,세리월드,,,60508,일반유원지/일반놀이공원,5.01301E+18,제주특별자치도,서귀포시,법환동,,877-1,5013010200,5013059000,5.01305E+11,법환상로2번길,97-17,126.5122871,33.24678139,다나079732,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000003323,장소,관광지,8292047,솜반내,,,60508,일반유원지/일반놀이공원,5.01301E+18,제주특별자치도,서귀포시,서홍동,,1223-1,5013010600,5013058000,5.01303E+11,서홍로,64,126.5535655,33.25355774,다나118739,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
